"copies","kind","duration","popularity"
50,"jcbk",1542,395
50,"jcbk",NULL,395
50,"jcbk",711,395
50,"jcbk",534,395
51,"jcbk",1542,395
51,"jcbk",NULL,395
51,"jcbk",711,395
51,"jcbk",534,395
52,"jcbk",1542,395
52,"jcbk",NULL,395
52,"jcbk",711,395
52,"jcbk",534,395
53,"jcbk",1542,395
53,"jcbk",NULL,395
53,"jcbk",711,395
53,"jcbk",534,395
54,"jcbk",1542,395
54,"jcbk",NULL,395
54,"jcbk",711,395
54,"jcbk",534,395
55,"jcbk",1542,395
55,"jcbk",NULL,395
55,"jcbk",711,395
55,"jcbk",534,395
56,"jcbk",1542,395
56,"jcbk",NULL,395
56,"jcbk",711,395
56,"jcbk",534,395
57,"jcbk",1542,395
57,"jcbk",NULL,395
57,"jcbk",711,395
57,"jcbk",534,395
58,"jcbk",1542,395
58,"jcbk",NULL,395
58,"jcbk",711,395
58,"jcbk",534,395
59,"jcbk",1542,395
59,"jcbk",NULL,395
59,"jcbk",711,395
59,"jcbk",534,395
60,"jcbk",1542,395
60,"jcbk",NULL,395
60,"jcbk",711,395
60,"jcbk",534,395
61,"jcbk",1542,395
61,"jcbk",NULL,395
61,"jcbk",711,395
61,"jcbk",534,395
62,"jcbk",1542,395
62,"jcbk",NULL,395
62,"jcbk",711,395
62,"jcbk",534,395
63,"jcbk",1542,395
63,"jcbk",NULL,395
63,"jcbk",711,395
63,"jcbk",534,395
64,"jcbk",1542,395
64,"jcbk",NULL,395
64,"jcbk",711,395
64,"jcbk",534,395
65,"jcbk",1542,395
65,"jcbk",NULL,395
65,"jcbk",711,395
65,"jcbk",534,395
66,"jcbk",1542,395
66,"jcbk",NULL,395
66,"jcbk",711,395
66,"jcbk",534,395
67,"jcbk",1542,395
67,"jcbk",NULL,395
67,"jcbk",711,395
67,"jcbk",534,395
68,"jcbk",1542,395
68,"jcbk",NULL,395
68,"jcbk",711,395
68,"jcbk",534,395
69,"jcbk",1542,395
69,"jcbk",NULL,395
69,"jcbk",711,395
69,"jcbk",534,395
70,"jcbk",1542,395
70,"jcbk",NULL,395
70,"jcbk",711,395
70,"jcbk",534,395
71,"jcbk",1542,395
71,"jcbk",NULL,395
71,"jcbk",711,395
71,"jcbk",534,395
72,"jcbk",1542,395
72,"jcbk",NULL,395
72,"jcbk",711,395
72,"jcbk",534,395
73,"jcbk",1542,395
73,"jcbk",NULL,395
73,"jcbk",711,395
73,"jcbk",534,395
74,"jcbk",1542,395
74,"jcbk",NULL,395
74,"jcbk",711,395
74,"jcbk",534,395
75,"jcbk",1542,395
75,"jcbk",NULL,395
75,"jcbk",711,395
75,"jcbk",534,395
76,"jcbk",1542,395
76,"jcbk",NULL,395
76,"jcbk",711,395
76,"jcbk",534,395
77,"jcbk",1542,395
77,"jcbk",NULL,395
77,"jcbk",711,395
77,"jcbk",534,395
78,"jcbk",1542,395
78,"jcbk",NULL,395
78,"jcbk",711,395
78,"jcbk",534,395
79,"jcbk",1542,395
79,"jcbk",NULL,395
79,"jcbk",711,395
79,"jcbk",534,395
80,"jcbk",1542,395
80,"jcbk",NULL,395
80,"jcbk",711,395
80,"jcbk",534,395
81,"jcbk",1542,395
81,"jcbk",NULL,395
81,"jcbk",711,395
81,"jcbk",534,395
82,"jcbk",1542,395
82,"jcbk",NULL,395
82,"jcbk",711,395
82,"jcbk",534,395
83,"jcbk",1542,395
83,"jcbk",NULL,395
83,"jcbk",711,395
83,"jcbk",534,395
84,"jcbk",1542,395
84,"jcbk",NULL,395
84,"jcbk",711,395
84,"jcbk",534,395
85,"jcbk",1542,395
85,"jcbk",NULL,395
85,"jcbk",711,395
85,"jcbk",534,395
86,"jcbk",1542,395
86,"jcbk",NULL,395
86,"jcbk",711,395
86,"jcbk",534,395
87,"jcbk",1542,395
87,"jcbk",NULL,395
87,"jcbk",711,395
87,"jcbk",534,395
88,"jcbk",1542,395
88,"jcbk",NULL,395
88,"jcbk",711,395
88,"jcbk",534,395
89,"jcbk",1542,395
89,"jcbk",NULL,395
89,"jcbk",711,395
89,"jcbk",534,395
90,"jcbk",1542,395
90,"jcbk",NULL,395
90,"jcbk",711,395
90,"jcbk",534,395
91,"jcbk",1542,395
91,"jcbk",NULL,395
91,"jcbk",711,395
91,"jcbk",534,395
92,"jcbk",1542,395
92,"jcbk",NULL,395
92,"jcbk",711,395
92,"jcbk",534,395
93,"jcbk",1542,395
93,"jcbk",NULL,395
93,"jcbk",711,395
93,"jcbk",534,395
94,"jcbk",1542,395
94,"jcbk",NULL,395
94,"jcbk",711,395
94,"jcbk",534,395
95,"jcbk",1542,395
95,"jcbk",NULL,395
95,"jcbk",711,395
95,"jcbk",534,395
96,"jcbk",1542,395
96,"jcbk",NULL,395
96,"jcbk",711,395
96,"jcbk",534,395
97,"jcbk",1542,395
97,"jcbk",NULL,395
97,"jcbk",711,395
97,"jcbk",534,395
98,"jcbk",1542,395
98,"jcbk",NULL,395
98,"jcbk",711,395
98,"jcbk",534,395
99,"jcbk",1542,395
99,"jcbk",NULL,395
99,"jcbk",711,395
99,"jcbk",534,395
100,"jcbk",1542,395
100,"jcbk",NULL,395
100,"jcbk",711,395
100,"jcbk",534,395
50,"jcbk",2164,14
50,"jcbk",NULL,14
51,"jcbk",2164,14
51,"jcbk",NULL,14
52,"jcbk",2164,14
52,"jcbk",NULL,14
53,"jcbk",2164,14
53,"jcbk",NULL,14
54,"jcbk",2164,14
54,"jcbk",NULL,14
55,"jcbk",2164,14
55,"jcbk",NULL,14
56,"jcbk",2164,14
56,"jcbk",NULL,14
57,"jcbk",2164,14
57,"jcbk",NULL,14
58,"jcbk",2164,14
58,"jcbk",NULL,14
59,"jcbk",2164,14
59,"jcbk",NULL,14
60,"jcbk",2164,14
60,"jcbk",NULL,14
61,"jcbk",2164,14
61,"jcbk",NULL,14
62,"jcbk",2164,14
62,"jcbk",NULL,14
63,"jcbk",2164,14
63,"jcbk",NULL,14
64,"jcbk",2164,14
64,"jcbk",NULL,14
65,"jcbk",2164,14
65,"jcbk",NULL,14
66,"jcbk",2164,14
66,"jcbk",NULL,14
67,"jcbk",2164,14
67,"jcbk",NULL,14
68,"jcbk",2164,14
68,"jcbk",NULL,14
69,"jcbk",2164,14
69,"jcbk",NULL,14
70,"jcbk",2164,14
70,"jcbk",NULL,14
71,"jcbk",2164,14
71,"jcbk",NULL,14
72,"jcbk",2164,14
72,"jcbk",NULL,14
73,"jcbk",2164,14
73,"jcbk",NULL,14
74,"jcbk",2164,14
74,"jcbk",NULL,14
75,"jcbk",2164,14
75,"jcbk",NULL,14
76,"jcbk",2164,14
76,"jcbk",NULL,14
77,"jcbk",2164,14
77,"jcbk",NULL,14
78,"jcbk",2164,14
78,"jcbk",NULL,14
79,"jcbk",2164,14
79,"jcbk",NULL,14
80,"jcbk",2164,14
80,"jcbk",NULL,14
81,"jcbk",2164,14
81,"jcbk",NULL,14
82,"jcbk",2164,14
82,"jcbk",NULL,14
83,"jcbk",2164,14
83,"jcbk",NULL,14
84,"jcbk",2164,14
84,"jcbk",NULL,14
85,"jcbk",2164,14
85,"jcbk",NULL,14
86,"jcbk",2164,14
86,"jcbk",NULL,14
87,"jcbk",2164,14
87,"jcbk",NULL,14
88,"jcbk",2164,14
88,"jcbk",NULL,14
89,"jcbk",2164,14
89,"jcbk",NULL,14
90,"jcbk",2164,14
90,"jcbk",NULL,14
91,"jcbk",2164,14
91,"jcbk",NULL,14
92,"jcbk",2164,14
92,"jcbk",NULL,14
93,"jcbk",2164,14
93,"jcbk",NULL,14
94,"jcbk",2164,14
94,"jcbk",NULL,14
95,"jcbk",2164,14
95,"jcbk",NULL,14
96,"jcbk",2164,14
96,"jcbk",NULL,14
97,"jcbk",2164,14
97,"jcbk",NULL,14
98,"jcbk",2164,14
98,"jcbk",NULL,14
99,"jcbk",2164,14
99,"jcbk",NULL,14
100,"jcbk",2164,14
100,"jcbk",NULL,14
50,"jcbk",1547,644
50,"jcbk",NULL,644
50,"jcbk",6234,644
51,"jcbk",1547,644
51,"jcbk",NULL,644
51,"jcbk",6234,644
52,"jcbk",1547,644
52,"jcbk",NULL,644
52,"jcbk",6234,644
53,"jcbk",1547,644
53,"jcbk",NULL,644
53,"jcbk",6234,644
54,"jcbk",1547,644
54,"jcbk",NULL,644
54,"jcbk",6234,644
55,"jcbk",1547,644
55,"jcbk",NULL,644
55,"jcbk",6234,644
56,"jcbk",1547,644
56,"jcbk",NULL,644
56,"jcbk",6234,644
57,"jcbk",1547,644
57,"jcbk",NULL,644
57,"jcbk",6234,644
58,"jcbk",1547,644
58,"jcbk",NULL,644
58,"jcbk",6234,644
59,"jcbk",1547,644
59,"jcbk",NULL,644
59,"jcbk",6234,644
60,"jcbk",1547,644
60,"jcbk",NULL,644
60,"jcbk",6234,644
61,"jcbk",1547,644
61,"jcbk",NULL,644
61,"jcbk",6234,644
62,"jcbk",1547,644
62,"jcbk",NULL,644
62,"jcbk",6234,644
63,"jcbk",1547,644
63,"jcbk",NULL,644
63,"jcbk",6234,644
64,"jcbk",1547,644
64,"jcbk",NULL,644
64,"jcbk",6234,644
65,"jcbk",1547,644
65,"jcbk",NULL,644
65,"jcbk",6234,644
66,"jcbk",1547,644
66,"jcbk",NULL,644
66,"jcbk",6234,644
67,"jcbk",1547,644
67,"jcbk",NULL,644
67,"jcbk",6234,644
68,"jcbk",1547,644
68,"jcbk",NULL,644
68,"jcbk",6234,644
69,"jcbk",1547,644
69,"jcbk",NULL,644
69,"jcbk",6234,644
70,"jcbk",1547,644
70,"jcbk",NULL,644
70,"jcbk",6234,644
71,"jcbk",1547,644
71,"jcbk",NULL,644
71,"jcbk",6234,644
72,"jcbk",1547,644
72,"jcbk",NULL,644
72,"jcbk",6234,644
73,"jcbk",1547,644
73,"jcbk",NULL,644
73,"jcbk",6234,644
74,"jcbk",1547,644
74,"jcbk",NULL,644
74,"jcbk",6234,644
75,"jcbk",1547,644
75,"jcbk",NULL,644
75,"jcbk",6234,644
76,"jcbk",1547,644
76,"jcbk",NULL,644
76,"jcbk",6234,644
77,"jcbk",1547,644
77,"jcbk",NULL,644
77,"jcbk",6234,644
78,"jcbk",1547,644
78,"jcbk",NULL,644
78,"jcbk",6234,644
79,"jcbk",1547,644
79,"jcbk",NULL,644
79,"jcbk",6234,644
80,"jcbk",1547,644
80,"jcbk",NULL,644
80,"jcbk",6234,644
81,"jcbk",1547,644
81,"jcbk",NULL,644
81,"jcbk",6234,644
82,"jcbk",1547,644
82,"jcbk",NULL,644
82,"jcbk",6234,644
83,"jcbk",1547,644
83,"jcbk",NULL,644
83,"jcbk",6234,644
84,"jcbk",1547,644
84,"jcbk",NULL,644
84,"jcbk",6234,644
85,"jcbk",1547,644
85,"jcbk",NULL,644
85,"jcbk",6234,644
86,"jcbk",1547,644
86,"jcbk",NULL,644
86,"jcbk",6234,644
87,"jcbk",1547,644
87,"jcbk",NULL,644
87,"jcbk",6234,644
88,"jcbk",1547,644
88,"jcbk",NULL,644
88,"jcbk",6234,644
89,"jcbk",1547,644
89,"jcbk",NULL,644
89,"jcbk",6234,644
90,"jcbk",1547,644
90,"jcbk",NULL,644
90,"jcbk",6234,644
91,"jcbk",1547,644
91,"jcbk",NULL,644
91,"jcbk",6234,644
92,"jcbk",1547,644
92,"jcbk",NULL,644
92,"jcbk",6234,644
93,"jcbk",1547,644
93,"jcbk",NULL,644
93,"jcbk",6234,644
94,"jcbk",1547,644
94,"jcbk",NULL,644
94,"jcbk",6234,644
95,"jcbk",1547,644
95,"jcbk",NULL,644
95,"jcbk",6234,644
96,"jcbk",1547,644
96,"jcbk",NULL,644
96,"jcbk",6234,644
97,"jcbk",1547,644
97,"jcbk",NULL,644
97,"jcbk",6234,644
98,"jcbk",1547,644
98,"jcbk",NULL,644
98,"jcbk",6234,644
99,"jcbk",1547,644
99,"jcbk",NULL,644
99,"jcbk",6234,644
100,"jcbk",1547,644
100,"jcbk",NULL,644
100,"jcbk",6234,644
50,"jcbk",2842,19
50,"jcbk",NULL,19
51,"jcbk",2842,19
51,"jcbk",NULL,19
52,"jcbk",2842,19
52,"jcbk",NULL,19
53,"jcbk",2842,19
53,"jcbk",NULL,19
54,"jcbk",2842,19
54,"jcbk",NULL,19
55,"jcbk",2842,19
55,"jcbk",NULL,19
56,"jcbk",2842,19
56,"jcbk",NULL,19
57,"jcbk",2842,19
57,"jcbk",NULL,19
58,"jcbk",2842,19
58,"jcbk",NULL,19
59,"jcbk",2842,19
59,"jcbk",NULL,19
60,"jcbk",2842,19
60,"jcbk",NULL,19
61,"jcbk",2842,19
61,"jcbk",NULL,19
62,"jcbk",2842,19
62,"jcbk",NULL,19
63,"jcbk",2842,19
63,"jcbk",NULL,19
64,"jcbk",2842,19
64,"jcbk",NULL,19
65,"jcbk",2842,19
65,"jcbk",NULL,19
66,"jcbk",2842,19
66,"jcbk",NULL,19
67,"jcbk",2842,19
67,"jcbk",NULL,19
68,"jcbk",2842,19
68,"jcbk",NULL,19
69,"jcbk",2842,19
69,"jcbk",NULL,19
70,"jcbk",2842,19
70,"jcbk",NULL,19
71,"jcbk",2842,19
71,"jcbk",NULL,19
72,"jcbk",2842,19
72,"jcbk",NULL,19
73,"jcbk",2842,19
73,"jcbk",NULL,19
74,"jcbk",2842,19
74,"jcbk",NULL,19
75,"jcbk",2842,19
75,"jcbk",NULL,19
76,"jcbk",2842,19
76,"jcbk",NULL,19
77,"jcbk",2842,19
77,"jcbk",NULL,19
78,"jcbk",2842,19
78,"jcbk",NULL,19
79,"jcbk",2842,19
79,"jcbk",NULL,19
80,"jcbk",2842,19
80,"jcbk",NULL,19
81,"jcbk",2842,19
81,"jcbk",NULL,19
82,"jcbk",2842,19
82,"jcbk",NULL,19
83,"jcbk",2842,19
83,"jcbk",NULL,19
84,"jcbk",2842,19
84,"jcbk",NULL,19
85,"jcbk",2842,19
85,"jcbk",NULL,19
86,"jcbk",2842,19
86,"jcbk",NULL,19
87,"jcbk",2842,19
87,"jcbk",NULL,19
88,"jcbk",2842,19
88,"jcbk",NULL,19
89,"jcbk",2842,19
89,"jcbk",NULL,19
90,"jcbk",2842,19
90,"jcbk",NULL,19
91,"jcbk",2842,19
91,"jcbk",NULL,19
92,"jcbk",2842,19
92,"jcbk",NULL,19
93,"jcbk",2842,19
93,"jcbk",NULL,19
94,"jcbk",2842,19
94,"jcbk",NULL,19
95,"jcbk",2842,19
95,"jcbk",NULL,19
96,"jcbk",2842,19
96,"jcbk",NULL,19
97,"jcbk",2842,19
97,"jcbk",NULL,19
98,"jcbk",2842,19
98,"jcbk",NULL,19
99,"jcbk",2842,19
99,"jcbk",NULL,19
100,"jcbk",2842,19
100,"jcbk",NULL,19
50,"jcbk",2193,434
50,"jcbk",1871,434
50,"jcbk",NULL,434
50,"jcbk",481,434
51,"jcbk",2193,434
51,"jcbk",1871,434
51,"jcbk",NULL,434
51,"jcbk",481,434
52,"jcbk",2193,434
52,"jcbk",1871,434
52,"jcbk",NULL,434
52,"jcbk",481,434
53,"jcbk",2193,434
53,"jcbk",1871,434
53,"jcbk",NULL,434
53,"jcbk",481,434
54,"jcbk",2193,434
54,"jcbk",1871,434
54,"jcbk",NULL,434
54,"jcbk",481,434
55,"jcbk",2193,434
55,"jcbk",1871,434
55,"jcbk",NULL,434
55,"jcbk",481,434
56,"jcbk",2193,434
56,"jcbk",1871,434
56,"jcbk",NULL,434
56,"jcbk",481,434
57,"jcbk",2193,434
57,"jcbk",1871,434
57,"jcbk",NULL,434
57,"jcbk",481,434
58,"jcbk",2193,434
58,"jcbk",1871,434
58,"jcbk",NULL,434
58,"jcbk",481,434
59,"jcbk",2193,434
59,"jcbk",1871,434
59,"jcbk",NULL,434
59,"jcbk",481,434
60,"jcbk",2193,434
60,"jcbk",1871,434
60,"jcbk",NULL,434
60,"jcbk",481,434
61,"jcbk",2193,434
61,"jcbk",1871,434
61,"jcbk",NULL,434
61,"jcbk",481,434
62,"jcbk",2193,434
62,"jcbk",1871,434
62,"jcbk",NULL,434
62,"jcbk",481,434
63,"jcbk",2193,434
63,"jcbk",1871,434
63,"jcbk",NULL,434
63,"jcbk",481,434
64,"jcbk",2193,434
64,"jcbk",1871,434
64,"jcbk",NULL,434
64,"jcbk",481,434
65,"jcbk",2193,434
65,"jcbk",1871,434
65,"jcbk",NULL,434
65,"jcbk",481,434
66,"jcbk",2193,434
66,"jcbk",1871,434
66,"jcbk",NULL,434
66,"jcbk",481,434
67,"jcbk",2193,434
67,"jcbk",1871,434
67,"jcbk",NULL,434
67,"jcbk",481,434
68,"jcbk",2193,434
68,"jcbk",1871,434
68,"jcbk",NULL,434
68,"jcbk",481,434
69,"jcbk",2193,434
69,"jcbk",1871,434
69,"jcbk",NULL,434
69,"jcbk",481,434
70,"jcbk",2193,434
70,"jcbk",1871,434
70,"jcbk",NULL,434
70,"jcbk",481,434
71,"jcbk",2193,434
71,"jcbk",1871,434
71,"jcbk",NULL,434
71,"jcbk",481,434
72,"jcbk",2193,434
72,"jcbk",1871,434
72,"jcbk",NULL,434
72,"jcbk",481,434
73,"jcbk",2193,434
73,"jcbk",1871,434
73,"jcbk",NULL,434
73,"jcbk",481,434
74,"jcbk",2193,434
74,"jcbk",1871,434
74,"jcbk",NULL,434
74,"jcbk",481,434
75,"jcbk",2193,434
75,"jcbk",1871,434
75,"jcbk",NULL,434
75,"jcbk",481,434
76,"jcbk",2193,434
76,"jcbk",1871,434
76,"jcbk",NULL,434
76,"jcbk",481,434
77,"jcbk",2193,434
77,"jcbk",1871,434
77,"jcbk",NULL,434
77,"jcbk",481,434
78,"jcbk",2193,434
78,"jcbk",1871,434
78,"jcbk",NULL,434
78,"jcbk",481,434
79,"jcbk",2193,434
79,"jcbk",1871,434
79,"jcbk",NULL,434
79,"jcbk",481,434
80,"jcbk",2193,434
80,"jcbk",1871,434
80,"jcbk",NULL,434
80,"jcbk",481,434
81,"jcbk",2193,434
81,"jcbk",1871,434
81,"jcbk",NULL,434
81,"jcbk",481,434
82,"jcbk",2193,434
82,"jcbk",1871,434
82,"jcbk",NULL,434
82,"jcbk",481,434
83,"jcbk",2193,434
83,"jcbk",1871,434
83,"jcbk",NULL,434
83,"jcbk",481,434
84,"jcbk",2193,434
84,"jcbk",1871,434
84,"jcbk",NULL,434
84,"jcbk",481,434
85,"jcbk",2193,434
85,"jcbk",1871,434
85,"jcbk",NULL,434
85,"jcbk",481,434
86,"jcbk",2193,434
86,"jcbk",1871,434
86,"jcbk",NULL,434
86,"jcbk",481,434
87,"jcbk",2193,434
87,"jcbk",1871,434
87,"jcbk",NULL,434
87,"jcbk",481,434
88,"jcbk",2193,434
88,"jcbk",1871,434
88,"jcbk",NULL,434
88,"jcbk",481,434
89,"jcbk",2193,434
89,"jcbk",1871,434
89,"jcbk",NULL,434
89,"jcbk",481,434
90,"jcbk",2193,434
90,"jcbk",1871,434
90,"jcbk",NULL,434
90,"jcbk",481,434
91,"jcbk",2193,434
91,"jcbk",1871,434
91,"jcbk",NULL,434
91,"jcbk",481,434
92,"jcbk",2193,434
92,"jcbk",1871,434
92,"jcbk",NULL,434
92,"jcbk",481,434
93,"jcbk",2193,434
93,"jcbk",1871,434
93,"jcbk",NULL,434
93,"jcbk",481,434
94,"jcbk",2193,434
94,"jcbk",1871,434
94,"jcbk",NULL,434
94,"jcbk",481,434
95,"jcbk",2193,434
95,"jcbk",1871,434
95,"jcbk",NULL,434
95,"jcbk",481,434
96,"jcbk",2193,434
96,"jcbk",1871,434
96,"jcbk",NULL,434
96,"jcbk",481,434
97,"jcbk",2193,434
97,"jcbk",1871,434
97,"jcbk",NULL,434
97,"jcbk",481,434
98,"jcbk",2193,434
98,"jcbk",1871,434
98,"jcbk",NULL,434
98,"jcbk",481,434
99,"jcbk",2193,434
99,"jcbk",1871,434
99,"jcbk",NULL,434
99,"jcbk",481,434
100,"jcbk",2193,434
100,"jcbk",1871,434
100,"jcbk",NULL,434
100,"jcbk",481,434
50,"jcbk",1652,638
50,"jcbk",NULL,638
50,"jcbk",0,638
50,"jcbk",147,638
51,"jcbk",1652,638
51,"jcbk",NULL,638
51,"jcbk",0,638
51,"jcbk",147,638
52,"jcbk",1652,638
52,"jcbk",NULL,638
52,"jcbk",0,638
52,"jcbk",147,638
53,"jcbk",1652,638
53,"jcbk",NULL,638
53,"jcbk",0,638
53,"jcbk",147,638
54,"jcbk",1652,638
54,"jcbk",NULL,638
54,"jcbk",0,638
54,"jcbk",147,638
55,"jcbk",1652,638
55,"jcbk",NULL,638
55,"jcbk",0,638
55,"jcbk",147,638
56,"jcbk",1652,638
56,"jcbk",NULL,638
56,"jcbk",0,638
56,"jcbk",147,638
57,"jcbk",1652,638
57,"jcbk",NULL,638
57,"jcbk",0,638
57,"jcbk",147,638
58,"jcbk",1652,638
58,"jcbk",NULL,638
58,"jcbk",0,638
58,"jcbk",147,638
59,"jcbk",1652,638
59,"jcbk",NULL,638
59,"jcbk",0,638
59,"jcbk",147,638
60,"jcbk",1652,638
60,"jcbk",NULL,638
60,"jcbk",0,638
60,"jcbk",147,638
61,"jcbk",1652,638
61,"jcbk",NULL,638
61,"jcbk",0,638
61,"jcbk",147,638
62,"jcbk",1652,638
62,"jcbk",NULL,638
62,"jcbk",0,638
62,"jcbk",147,638
63,"jcbk",1652,638
63,"jcbk",NULL,638
63,"jcbk",0,638
63,"jcbk",147,638
64,"jcbk",1652,638
64,"jcbk",NULL,638
64,"jcbk",0,638
64,"jcbk",147,638
65,"jcbk",1652,638
65,"jcbk",NULL,638
65,"jcbk",0,638
65,"jcbk",147,638
66,"jcbk",1652,638
66,"jcbk",NULL,638
66,"jcbk",0,638
66,"jcbk",147,638
67,"jcbk",1652,638
67,"jcbk",NULL,638
67,"jcbk",0,638
67,"jcbk",147,638
68,"jcbk",1652,638
68,"jcbk",NULL,638
68,"jcbk",0,638
68,"jcbk",147,638
69,"jcbk",1652,638
69,"jcbk",NULL,638
69,"jcbk",0,638
69,"jcbk",147,638
70,"jcbk",1652,638
70,"jcbk",NULL,638
70,"jcbk",0,638
70,"jcbk",147,638
71,"jcbk",1652,638
71,"jcbk",NULL,638
71,"jcbk",0,638
71,"jcbk",147,638
72,"jcbk",1652,638
72,"jcbk",NULL,638
72,"jcbk",0,638
72,"jcbk",147,638
73,"jcbk",1652,638
73,"jcbk",NULL,638
73,"jcbk",0,638
73,"jcbk",147,638
74,"jcbk",1652,638
74,"jcbk",NULL,638
74,"jcbk",0,638
74,"jcbk",147,638
75,"jcbk",1652,638
75,"jcbk",NULL,638
75,"jcbk",0,638
75,"jcbk",147,638
76,"jcbk",1652,638
76,"jcbk",NULL,638
76,"jcbk",0,638
76,"jcbk",147,638
77,"jcbk",1652,638
77,"jcbk",NULL,638
77,"jcbk",0,638
77,"jcbk",147,638
78,"jcbk",1652,638
78,"jcbk",NULL,638
78,"jcbk",0,638
78,"jcbk",147,638
79,"jcbk",1652,638
79,"jcbk",NULL,638
79,"jcbk",0,638
79,"jcbk",147,638
80,"jcbk",1652,638
80,"jcbk",NULL,638
80,"jcbk",0,638
80,"jcbk",147,638
81,"jcbk",1652,638
81,"jcbk",NULL,638
81,"jcbk",0,638
81,"jcbk",147,638
82,"jcbk",1652,638
82,"jcbk",NULL,638
82,"jcbk",0,638
82,"jcbk",147,638
83,"jcbk",1652,638
83,"jcbk",NULL,638
83,"jcbk",0,638
83,"jcbk",147,638
84,"jcbk",1652,638
84,"jcbk",NULL,638
84,"jcbk",0,638
84,"jcbk",147,638
85,"jcbk",1652,638
85,"jcbk",NULL,638
85,"jcbk",0,638
85,"jcbk",147,638
86,"jcbk",1652,638
86,"jcbk",NULL,638
86,"jcbk",0,638
86,"jcbk",147,638
87,"jcbk",1652,638
87,"jcbk",NULL,638
87,"jcbk",0,638
87,"jcbk",147,638
88,"jcbk",1652,638
88,"jcbk",NULL,638
88,"jcbk",0,638
88,"jcbk",147,638
89,"jcbk",1652,638
89,"jcbk",NULL,638
89,"jcbk",0,638
89,"jcbk",147,638
90,"jcbk",1652,638
90,"jcbk",NULL,638
90,"jcbk",0,638
90,"jcbk",147,638
91,"jcbk",1652,638
91,"jcbk",NULL,638
91,"jcbk",0,638
91,"jcbk",147,638
92,"jcbk",1652,638
92,"jcbk",NULL,638
92,"jcbk",0,638
92,"jcbk",147,638
93,"jcbk",1652,638
93,"jcbk",NULL,638
93,"jcbk",0,638
93,"jcbk",147,638
94,"jcbk",1652,638
94,"jcbk",NULL,638
94,"jcbk",0,638
94,"jcbk",147,638
95,"jcbk",1652,638
95,"jcbk",NULL,638
95,"jcbk",0,638
95,"jcbk",147,638
96,"jcbk",1652,638
96,"jcbk",NULL,638
96,"jcbk",0,638
96,"jcbk",147,638
97,"jcbk",1652,638
97,"jcbk",NULL,638
97,"jcbk",0,638
97,"jcbk",147,638
98,"jcbk",1652,638
98,"jcbk",NULL,638
98,"jcbk",0,638
98,"jcbk",147,638
99,"jcbk",1652,638
99,"jcbk",NULL,638
99,"jcbk",0,638
99,"jcbk",147,638
100,"jcbk",1652,638
100,"jcbk",NULL,638
100,"jcbk",0,638
100,"jcbk",147,638
50,"jcbk",4174,934
50,"jcbk",NULL,934
50,"jcbk",289,934
50,"jcbk",237,934
51,"jcbk",4174,934
51,"jcbk",NULL,934
51,"jcbk",289,934
51,"jcbk",237,934
52,"jcbk",4174,934
52,"jcbk",NULL,934
52,"jcbk",289,934
52,"jcbk",237,934
53,"jcbk",4174,934
53,"jcbk",NULL,934
53,"jcbk",289,934
53,"jcbk",237,934
54,"jcbk",4174,934
54,"jcbk",NULL,934
54,"jcbk",289,934
54,"jcbk",237,934
55,"jcbk",4174,934
55,"jcbk",NULL,934
55,"jcbk",289,934
55,"jcbk",237,934
56,"jcbk",4174,934
56,"jcbk",NULL,934
56,"jcbk",289,934
56,"jcbk",237,934
57,"jcbk",4174,934
57,"jcbk",NULL,934
57,"jcbk",289,934
57,"jcbk",237,934
58,"jcbk",4174,934
58,"jcbk",NULL,934
58,"jcbk",289,934
58,"jcbk",237,934
59,"jcbk",4174,934
59,"jcbk",NULL,934
59,"jcbk",289,934
59,"jcbk",237,934
60,"jcbk",4174,934
60,"jcbk",NULL,934
60,"jcbk",289,934
60,"jcbk",237,934
61,"jcbk",4174,934
61,"jcbk",NULL,934
61,"jcbk",289,934
61,"jcbk",237,934
62,"jcbk",4174,934
62,"jcbk",NULL,934
62,"jcbk",289,934
62,"jcbk",237,934
63,"jcbk",4174,934
63,"jcbk",NULL,934
63,"jcbk",289,934
63,"jcbk",237,934
64,"jcbk",4174,934
64,"jcbk",NULL,934
64,"jcbk",289,934
64,"jcbk",237,934
65,"jcbk",4174,934
65,"jcbk",NULL,934
65,"jcbk",289,934
65,"jcbk",237,934
66,"jcbk",4174,934
66,"jcbk",NULL,934
66,"jcbk",289,934
66,"jcbk",237,934
67,"jcbk",4174,934
67,"jcbk",NULL,934
67,"jcbk",289,934
67,"jcbk",237,934
68,"jcbk",4174,934
68,"jcbk",NULL,934
68,"jcbk",289,934
68,"jcbk",237,934
69,"jcbk",4174,934
69,"jcbk",NULL,934
69,"jcbk",289,934
69,"jcbk",237,934
70,"jcbk",4174,934
70,"jcbk",NULL,934
70,"jcbk",289,934
70,"jcbk",237,934
71,"jcbk",4174,934
71,"jcbk",NULL,934
71,"jcbk",289,934
71,"jcbk",237,934
72,"jcbk",4174,934
72,"jcbk",NULL,934
72,"jcbk",289,934
72,"jcbk",237,934
73,"jcbk",4174,934
73,"jcbk",NULL,934
73,"jcbk",289,934
73,"jcbk",237,934
74,"jcbk",4174,934
74,"jcbk",NULL,934
74,"jcbk",289,934
74,"jcbk",237,934
75,"jcbk",4174,934
75,"jcbk",NULL,934
75,"jcbk",289,934
75,"jcbk",237,934
